1.5708	,-0.349064	,-0.349066	,-3.67321e-06	,0	,-0	,
1.56409	,-0.347869	,-0.355565	,-0.00394965	,0.00045	,-0.015695	,
1.55738	,-0.346674	,-0.362065	,-0.00789564	,0.0009	,-0.03139	,
1.55068	,-0.34548	,-0.368564	,-0.0118416	,0.00135	,-0.047085	,
1.54397	,-0.344285	,-0.375063	,-0.0157876	,0.0018	,-0.06278	,
1.53726	,-0.343091	,-0.381563	,-0.0197336	,0.00225	,-0.078475	,
1.53055	,-0.341896	,-0.388062	,-0.0236796	,0.0027	,-0.09417	,
1.52384	,-0.340701	,-0.394561	,-0.0276255	,0.00315	,-0.109865	,
1.51714	,-0.339507	,-0.401061	,-0.0315715	,0.0036	,-0.12556	,
1.51043	,-0.338312	,-0.40756	,-0.0355175	,0.00405	,-0.141255	,
1.50372	,-0.337117	,-0.414059	,-0.0394635	,0.0045	,-0.15695	,
1.49701	,-0.335923	,-0.420559	,-0.0434095	,0.00495	,-0.172645	,
1.4903	,-0.334728	,-0.427058	,-0.0473554	,0.0054	,-0.18834	,
1.4836	,-0.333534	,-0.433557	,-0.0513014	,0.00585	,-0.204035	,
1.47689	,-0.332339	,-0.440057	,-0.0552474	,0.0063	,-0.21973	,
1.47018	,-0.331144	,-0.446556	,-0.0591934	,0.00675	,-0.235425	,
1.46347	,-0.32995	,-0.453055	,-0.0631394	,0.0072	,-0.25112	,
1.45676	,-0.328755	,-0.459555	,-0.0670854	,0.00765	,-0.266815	,
1.45006	,-0.327561	,-0.466054	,-0.0710314	,0.0081	,-0.28251	,
1.44335	,-0.326366	,-0.472553	,-0.0749773	,0.00855	,-0.298205	,
1.43664	,-0.325171	,-0.479053	,-0.0789233	,0.009	,-0.3139	,
1.42993	,-0.323977	,-0.485552	,-0.0828693	,0.00945	,-0.329595	,
1.42322	,-0.322782	,-0.492052	,-0.0868153	,0.0099	,-0.34529	,
1.41652	,-0.321587	,-0.498551	,-0.0907613	,0.01035	,-0.360985	,
1.40981	,-0.320393	,-0.50505	,-0.0947073	,0.0108	,-0.37668	,
1.4031	,-0.319198	,-0.51155	,-0.0986532	,0.01125	,-0.392375	,
1.39639	,-0.318004	,-0.518049	,-0.102599	,0.0117	,-0.40807	,
1.38968	,-0.316809	,-0.524548	,-0.106545	,0.01215	,-0.423765	,
1.38298	,-0.315614	,-0.531048	,-0.110491	,0.0126	,-0.43946	,
1.37627	,-0.31442	,-0.537547	,-0.114437	,0.01305	,-0.455155	,
1.36956	,-0.313225	,-0.544046	,-0.118383	,0.0135	,-0.47085	,
1.36285	,-0.312031	,-0.550546	,-0.122329	,0.01395	,-0.486545	,
1.35614	,-0.310836	,-0.557045	,-0.126275	,0.0144	,-0.50224	,
1.34944	,-0.309641	,-0.563544	,-0.130221	,0.01485	,-0.517935	,
1.34273	,-0.308447	,-0.570044	,-0.134167	,0.0153	,-0.53363	,
1.33602	,-0.307252	,-0.576543	,-0.138113	,0.01575	,-0.549325	,
1.32931	,-0.306057	,-0.583042	,-0.142059	,0.0162	,-0.56502	,
1.3226	,-0.304863	,-0.589542	,-0.146005	,0.01665	,-0.580715	,
1.3159	,-0.303668	,-0.596041	,-0.149951	,0.0171	,-0.59641	,
1.30919	,-0.302474	,-0.60254	,-0.153897	,0.01755	,-0.612105	,
1.30248	,-0.301279	,-0.60904	,-0.157843	,0.018	,-0.6278	,
1.29577	,-0.300084	,-0.615539	,-0.161789	,0.01845	,-0.643495	,
1.28906	,-0.29889	,-0.622038	,-0.165735	,0.0189	,-0.65919	,
1.28236	,-0.297695	,-0.628538	,-0.169681	,0.01935	,-0.674885	,
1.27565	,-0.2965	,-0.635037	,-0.173627	,0.0198	,-0.69058	,
1.26894	,-0.295306	,-0.641536	,-0.177573	,0.02025	,-0.706275	,
1.26223	,-0.294111	,-0.648036	,-0.181519	,0.0207	,-0.72197	,
1.25552	,-0.292917	,-0.654535	,-0.185465	,0.02115	,-0.737665	,
1.24882	,-0.291722	,-0.661034	,-0.189411	,0.0216	,-0.75336	,
1.24211	,-0.290527	,-0.667534	,-0.193357	,0.02205	,-0.769055	,
1.2354	,-0.289333	,-0.674033	,-0.197303	,0.0225	,-0.78475	,
1.22869	,-0.288138	,-0.680532	,-0.201249	,0.02295	,-0.800445	,
1.22198	,-0.286944	,-0.687032	,-0.205195	,0.0234	,-0.81614	,
1.21528	,-0.285749	,-0.693531	,-0.209141	,0.02385	,-0.831835	,
1.20857	,-0.284554	,-0.70003	,-0.213087	,0.0243	,-0.84753	,
1.20186	,-0.28336	,-0.70653	,-0.217033	,0.02475	,-0.863225	,
1.19515	,-0.282165	,-0.713029	,-0.220979	,0.0252	,-0.87892	,
1.18844	,-0.28097	,-0.719528	,-0.224925	,0.02565	,-0.894615	,
1.18174	,-0.279776	,-0.726028	,-0.228871	,0.0261	,-0.91031	,
1.17503	,-0.278581	,-0.732527	,-0.232816	,0.02655	,-0.926005	,
1.16832	,-0.277387	,-0.739026	,-0.236762	,0.027	,-0.9417	,
1.16161	,-0.276192	,-0.745526	,-0.240708	,0.02745	,-0.957395	,
1.1549	,-0.274997	,-0.752025	,-0.244654	,0.0279	,-0.97309	,
1.1482	,-0.273803	,-0.758524	,-0.2486	,0.02835	,-0.988785	,
1.14149	,-0.272608	,-0.765024	,-0.252546	,0.0288	,-1.00448	,
1.13478	,-0.271414	,-0.771523	,-0.256492	,0.02925	,-1.02017	,
1.12807	,-0.270219	,-0.778022	,-0.260438	,0.0297	,-1.03587	,
1.12136	,-0.269024	,-0.784522	,-0.264384	,0.03015	,-1.05156	,
1.11466	,-0.26783	,-0.791021	,-0.26833	,0.0306	,-1.06726	,
1.10795	,-0.266635	,-0.79752	,-0.272276	,0.03105	,-1.08295	,
1.10124	,-0.26544	,-0.80402	,-0.276222	,0.0315	,-1.09865	,
1.09453	,-0.264246	,-0.810519	,-0.280168	,0.03195	,-1.11434	,
1.08782	,-0.263051	,-0.817018	,-0.284114	,0.0324	,-1.13004	,
1.08112	,-0.261857	,-0.823518	,-0.28806	,0.03285	,-1.14573	,
1.07441	,-0.260662	,-0.830017	,-0.292006	,0.0333	,-1.16143	,
1.0677	,-0.259467	,-0.836516	,-0.295952	,0.03375	,-1.17712	,
1.06099	,-0.258273	,-0.843016	,-0.299898	,0.0342	,-1.19282	,
1.05428	,-0.257078	,-0.849515	,-0.303844	,0.03465	,-1.20851	,
1.04758	,-0.255883	,-0.856014	,-0.30779	,0.0351	,-1.22421	,
1.04087	,-0.254689	,-0.862514	,-0.311736	,0.03555	,-1.2399	,
1.03416	,-0.253494	,-0.869013	,-0.315682	,0.036	,-1.2556	,
1.02745	,-0.2523	,-0.875512	,-0.319628	,0.03645	,-1.27129	,
1.02074	,-0.251105	,-0.882012	,-0.323574	,0.0369	,-1.28699	,
1.01404	,-0.24991	,-0.888511	,-0.32752	,0.03735	,-1.30268	,
1.00733	,-0.248716	,-0.89501	,-0.331466	,0.0378	,-1.31838	,
1.00062	,-0.247521	,-0.90151	,-0.335412	,0.03825	,-1.33407	,
0.993912	,-0.246327	,-0.908009	,-0.339358	,0.0387	,-1.34977	,
0.987204	,-0.245132	,-0.914508	,-0.343304	,0.03915	,-1.36546	,
0.980496	,-0.243937	,-0.921008	,-0.34725	,0.0396	,-1.38116	,
0.973788	,-0.242743	,-0.927507	,-0.351196	,0.04005	,-1.39685	,
0.96708	,-0.241548	,-0.934006	,-0.355142	,0.0405	,-1.41255	,
0.960372	,-0.240353	,-0.940506	,-0.359088	,0.04095	,-1.42824	,
0.953664	,-0.239159	,-0.947005	,-0.363034	,0.0414	,-1.44394	,
0.946956	,-0.237964	,-0.953504	,-0.36698	,0.04185	,-1.45963	,
0.940248	,-0.23677	,-0.960004	,-0.370926	,0.0423	,-1.47533	,
0.93354	,-0.235575	,-0.966503	,-0.374872	,0.04275	,-1.49102	,
0.926832	,-0.23438	,-0.973002	,-0.378818	,0.0432	,-1.50672	,
0.920124	,-0.233186	,-0.979502	,-0.382764	,0.04365	,-1.52241	,
0.913416	,-0.231991	,-0.986001	,-0.38671	,0.0441	,-1.53811	,
0.906708	,-0.230797	,-0.9925	,-0.390656	,0.04455	,-1.5538	,
0.9	,-0.229602	,-0.999	,-0.394602	,0.045	,-1.5695	,
0.893292	,-0.228407	,-1.0055	,-0.398548	,0.04545	,-1.58519	,
0.886584	,-0.227213	,-1.012	,-0.402494	,0.0459	,-1.60089	,
0.879876	,-0.226018	,-1.0185	,-0.40644	,0.04635	,-1.61658	,
0.873168	,-0.224823	,-1.025	,-0.410386	,0.0468	,-1.63228	,
0.86646	,-0.223629	,-1.0315	,-0.414331	,0.04725	,-1.64797	,
0.859752	,-0.222434	,-1.038	,-0.418277	,0.0477	,-1.66367	,
0.853044	,-0.22124	,-1.04449	,-0.422223	,0.04815	,-1.67936	,
0.846336	,-0.220045	,-1.05099	,-0.426169	,0.0486	,-1.69506	,
0.839628	,-0.21885	,-1.05749	,-0.430115	,0.04905	,-1.71075	,
0.83292	,-0.217656	,-1.06399	,-0.434061	,0.0495	,-1.72645	,
0.826212	,-0.216461	,-1.07049	,-0.438007	,0.04995	,-1.74214	,
0.819504	,-0.215267	,-1.07699	,-0.441953	,0.0504	,-1.75784	,
0.812796	,-0.214072	,-1.08349	,-0.445899	,0.05085	,-1.77353	,
0.806088	,-0.212877	,-1.08999	,-0.449845	,0.0513	,-1.78923	,
0.79938	,-0.211683	,-1.09649	,-0.453791	,0.05175	,-1.80492	,
0.792673	,-0.210488	,-1.10299	,-0.457737	,0.0522	,-1.82062	,
0.785965	,-0.209293	,-1.10949	,-0.461683	,0.05265	,-1.83631	,
0.779257	,-0.208099	,-1.11599	,-0.465629	,0.0531	,-1.85201	,
0.772549	,-0.206904	,-1.12249	,-0.469575	,0.05355	,-1.8677	,
0.765841	,-0.20571	,-1.12899	,-0.473521	,0.054	,-1.8834	,
0.759133	,-0.204515	,-1.13549	,-0.477467	,0.05445	,-1.89909	,
0.752425	,-0.20332	,-1.14198	,-0.481413	,0.0549	,-1.91479	,
0.745717	,-0.202126	,-1.14848	,-0.485359	,0.05535	,-1.93048	,
0.739009	,-0.200931	,-1.15498	,-0.489305	,0.0558	,-1.94618	,
0.732301	,-0.199736	,-1.16148	,-0.493251	,0.05625	,-1.96187	,
0.725593	,-0.198542	,-1.16798	,-0.497197	,0.0567	,-1.97757	,
0.718885	,-0.197347	,-1.17448	,-0.501143	,0.05715	,-1.99326	,
0.712177	,-0.196153	,-1.18098	,-0.505089	,0.0576	,-2.00896	,
0.705469	,-0.194958	,-1.18748	,-0.509035	,0.05805	,-2.02465	,
0.698761	,-0.193763	,-1.19398	,-0.512981	,0.0585	,-2.04035	,
0.692053	,-0.192569	,-1.20048	,-0.516927	,0.05895	,-2.05604	,
0.685345	,-0.191374	,-1.20698	,-0.520873	,0.0594	,-2.07174	,
0.678637	,-0.19018	,-1.21348	,-0.524819	,0.05985	,-2.08743	,
0.671929	,-0.188985	,-1.21998	,-0.528765	,0.0603	,-2.10313	,
0.665221	,-0.18779	,-1.22648	,-0.532711	,0.06075	,-2.11882	,
0.658513	,-0.186596	,-1.23298	,-0.536657	,0.0612	,-2.13452	,
0.651805	,-0.185401	,-1.23947	,-0.540603	,0.06165	,-2.15021	,
0.645097	,-0.184206	,-1.24597	,-0.544549	,0.0621	,-2.16591	,
0.638389	,-0.183012	,-1.25247	,-0.548495	,0.06255	,-2.1816	,
0.631681	,-0.181817	,-1.25897	,-0.552441	,0.063	,-2.1973	,
0.624973	,-0.180623	,-1.26547	,-0.556387	,0.06345	,-2.21299	,
0.618265	,-0.179428	,-1.27197	,-0.560333	,0.0639	,-2.22869	,
0.611557	,-0.178233	,-1.27847	,-0.564279	,0.06435	,-2.24438	,
0.604849	,-0.177039	,-1.28497	,-0.568225	,0.0648	,-2.26008	,
0.598141	,-0.175844	,-1.29147	,-0.572171	,0.06525	,-2.27577	,
0.591433	,-0.17465	,-1.29797	,-0.576117	,0.0657	,-2.29147	,
0.584725	,-0.173455	,-1.30447	,-0.580063	,0.06615	,-2.30716	,
0.578017	,-0.17226	,-1.31097	,-0.584009	,0.0666	,-2.32286	,
0.571309	,-0.171066	,-1.31747	,-0.587955	,0.06705	,-2.33855	,
0.564601	,-0.169871	,-1.32397	,-0.5919	,0.0675	,-2.35425	,
0.557893	,-0.168676	,-1.33047	,-0.595846	,0.06795	,-2.36994	,
0.551185	,-0.167482	,-1.33696	,-0.599792	,0.0684	,-2.38564	,
0.544477	,-0.166287	,-1.34346	,-0.603738	,0.06885	,-2.40133	,
0.537769	,-0.165093	,-1.34996	,-0.607684	,0.0693	,-2.41703	,
0.531061	,-0.163898	,-1.35646	,-0.61163	,0.0697499	,-2.43272	,
0.524353	,-0.162703	,-1.36296	,-0.615576	,0.0701999	,-2.44842	,
0.517645	,-0.161509	,-1.36946	,-0.619522	,0.0706499	,-2.46411	,
0.510937	,-0.160314	,-1.37596	,-0.623468	,0.0710999	,-2.47981	,
0.504229	,-0.159119	,-1.38246	,-0.627414	,0.0715499	,-2.4955	,
0.497521	,-0.157925	,-1.38896	,-0.63136	,0.0719999	,-2.5112	,
0.490813	,-0.15673	,-1.39546	,-0.635306	,0.0724499	,-2.52689	,
0.484105	,-0.155536	,-1.40196	,-0.639252	,0.0728999	,-2.54259	,
0.477397	,-0.154341	,-1.40846	,-0.643198	,0.0733499	,-2.55828	,
0.470689	,-0.153146	,-1.41496	,-0.647144	,0.0737999	,-2.57398	,
0.463981	,-0.151952	,-1.42146	,-0.65109	,0.0742499	,-2.58967	,
0.457273	,-0.150757	,-1.42796	,-0.655036	,0.0746999	,-2.60537	,
0.450565	,-0.149563	,-1.43445	,-0.658982	,0.0751499	,-2.62106	,
0.443857	,-0.148368	,-1.44095	,-0.662928	,0.0755999	,-2.63676	,
0.437149	,-0.147173	,-1.44745	,-0.666874	,0.0760499	,-2.65245	,
0.430441	,-0.145979	,-1.45395	,-0.67082	,0.0764999	,-2.66815	,
0.423733	,-0.144784	,-1.46045	,-0.674766	,0.0769499	,-2.68384	,
0.417025	,-0.143589	,-1.46695	,-0.678712	,0.0773999	,-2.69954	,
0.410317	,-0.142395	,-1.47345	,-0.682658	,0.0778499	,-2.71523	,
0.403609	,-0.1412	,-1.47995	,-0.686604	,0.0782999	,-2.73093	,
0.396901	,-0.140006	,-1.48645	,-0.69055	,0.0787499	,-2.74662	,
0.390193	,-0.138811	,-1.49295	,-0.694496	,0.0791999	,-2.76232	,
0.383485	,-0.137616	,-1.49945	,-0.698442	,0.0796499	,-2.77801	,
0.376777	,-0.136422	,-1.50595	,-0.702388	,0.0800999	,-2.79371	,
0.370069	,-0.135227	,-1.51245	,-0.706334	,0.0805499	,-2.8094	,
0.363361	,-0.134033	,-1.51895	,-0.71028	,0.0809999	,-2.8251	,
0.356653	,-0.132838	,-1.52545	,-0.714226	,0.0814499	,-2.84079	,
0.349945	,-0.131643	,-1.53194	,-0.718172	,0.0818999	,-2.85649	,
0.343237	,-0.130449	,-1.53844	,-0.722118	,0.0823499	,-2.87218	,
0.336529	,-0.129254	,-1.54494	,-0.726064	,0.0827999	,-2.88788	,
0.329821	,-0.128059	,-1.55144	,-0.73001	,0.0832499	,-2.90357	,
0.323113	,-0.126865	,-1.55794	,-0.733956	,0.0836999	,-2.91927	,
0.316405	,-0.12567	,-1.56444	,-0.737902	,0.0841499	,-2.93496	,
0.309697	,-0.124476	,-1.57094	,-0.741848	,0.0845999	,-2.95066	,
0.302989	,-0.123281	,-1.57744	,-0.745794	,0.0850499	,-2.96635	,
0.296281	,-0.122086	,-1.58394	,-0.74974	,0.0854999	,-2.98205	,
0.289573	,-0.120892	,-1.59044	,-0.753686	,0.0859499	,-2.99774	,
0.282865	,-0.119697	,-1.59694	,-0.757632	,0.0863999	,-3.01344	,
0.276157	,-0.118503	,-1.60344	,-0.761578	,0.0868499	,-3.02913	,
0.269449	,-0.117308	,-1.60994	,-0.765524	,0.0872999	,-3.04483	,
0.262741	,-0.116113	,-1.61644	,-0.769469	,0.0877499	,-3.06052	,
0.256033	,-0.114919	,-1.62294	,-0.773415	,0.0881999	,-3.07622	,
0.249325	,-0.113724	,-1.62943	,-0.777361	,0.0886499	,-3.09191	,
0.242617	,-0.112529	,-1.63593	,-0.781307	,0.0890999	,-3.10761	,
0.235909	,-0.111335	,-1.64243	,-0.785253	,0.0895499	,-3.1233	,
0.229201	,-0.11014	,-1.64893	,-0.789199	,0.0899999	,-3.139	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
-0.142006	,-0.000170175	,0.102267	,0.000461556	,0.000401965	,-0.000345819	,
